source_word,target_word,pos,page_number
abu,ahu,noun,1
ada,era,noun,1
ada,abhu,verb,1
adik,ari,noun,1
adik perempuan dari ibu,ina iiki,noun,1
adil,mera,adjective,1
adil,mola-mola,adjective,1
adu,galaa,verb,1
agak,ako,adverb,1
agama,agama,noun,1
agar,ho,conjunction,1
agar,sèna ka,conjunction,1
agar supaya,ho sèna ka,conjunction,1
agar tidak,ia ka,negation,1
air,èi,noun,1
air,loko,noun,1
air kencing,èi soro èi,noun,1
air mata,èi madha,noun,1
air panas,èi pana,noun,1
air pasang naik,luu,verb,1
air putih,èi iia,noun,1
air seni,èi soro èi,noun,1
ajak,gale,verb,1
ajaran,lii holo nori,noun,1
ajaran,lii lolo nori,noun,1
ajaran,nori,noun,1
akar,amo,noun,1
akar,kolo-kapua,idiom,1
aku,cèku,pronoun,1
aku,ja'a,pronoun,1
alasan,kolo-kapua,idiom,1
alasan,madha j'ara,idiom,1
alat jepit,ngangapi,noun,1
alir,hae,verb,1
alir,lale,verb,1
alirkan,pahae,verb,1
alirkan,palale,verb,1
Alkitab,Alkitab,noun,1
Alkitab,Buku Kabha Mèdhi,noun,1
Alkitab,Sasuri Ama Lamatua,noun,1
Allah,Ama Lamatua,noun,1
Allah,Lamatua,noun,1
alu,ngècu,noun,1
alu dan lesung,a'abo,noun,1
ambil,nare,verb,1
amin,amin,interjection,1
ampas,sota,noun,1
ampun,abho,noun,1
anak,ana,noun,1
anak bungsu,ana limuri,noun,1
anak cecek,lusi,noun,1
anak di tengah,ana talora,noun,1
anak kecil,ana iiki,noun,1
anak laki-laki,ana mone,noun,1
anak laki-laki,ana mone,noun,1
anak perempuan,ana bhèni,noun,1
anak perempuan,ana bhèni,noun,1
anak sulung,ana uuru,noun,2
anak suruhan,ana paleha,noun,2
anak suruhan,ana pajuu,noun,2
anakan,ana nganga'a,noun,2
anay-anay,anarai,noun,2
anda,èu,pronoun,2
angguk,pangètu,verb,2
angin,ngèlu,noun,2
angin ribut,bohe,noun,2
angin tofan,bohe,noun,2
angkat,bau,verb,2
angkat,ded'e,verb,2
angkat,doa,verb,2
angkat,j'oka,verb,2
angkat,j'oke,verb,2
angkat,nedhe,verb,2
angkat,padoa,verb,2
angkuh,pabhèni,adjective,2
angkuh,pamone,adjective,2
anjing,busa,noun,2
anjing polisi,busa sobu,noun,2
antar,lere,verb,2
antara,talora,noun,2
anting-anting,ate-ate,noun,2
antri,panoo,verb,2
anyam,ènyu,verb,2
apa,ngaa,particle,2
apa sebab,nga tao ka,particle,2
api,ai,noun,2
apit,ngapi,verb,2
apung,talebo,verb,2
arak,dhua ara,noun,2
arang,kadhu,noun,2
ares,kèpe,verb,2
arif,d'èlu-mèu,idiom,2
arti,sasoa,noun,2
arus,rii,noun,2
arwah,samanga,noun,2
asal,sad'i,conjunction,2
asam,manyilu,adjective,2
asap,sèbu,noun,2
asapi,pasèbu,verb,2
asin,sèro,adjective,2
asinkan,pasèro,verb,2
atap,rèu èmu,noun,2
atas,kolo,noun,2
atas,dedha,adjective,2
atau,do,conjunction,2
atur,lalau,verb,2
awal,uru kamai,noun,2
awan,ra'i liru,noun,2
awan-awan,rara'i liru,noun,2
awas,mage,verb,2
ayah,ama,noun,2
ayam,manu,noun,2
"ayam, telur",kanadhu manu,noun,2
ayo,we!,interjection,2
babi,hahi,noun,2
badai,bohe,noun,2
badan,ngi'u,noun,2
badan,ua,noun,2
bagaimana,tasa mia,particle,2
bagi,pabagi,verb,2
bagi,pala,verb,2
bagi,pare,verb,2
bagi,hia,preposition,2
bagian,pala,noun,2
bagian luar,li'u.,noun,3
bagi-bagi,papala.,verb,3
bagus,saraga,verb,3
bagus,be'a.,adjective,3
bahas,padhue;,verb,3
bahas,padhue-padhai.,verb,3
bahu,kabela-kao.,noun,3
bahwa,ka.,complementizer,3
baik,be'a.,adjective,3
baik-baik,paie.,adverb,3
baju,kodho.,noun,3
baju wanita,kalei.,noun,3
bak,bak.,noun,3
bakar,suru;,verb,3
bakar,tunu.,verb,3
bakar sampai hangus,labhu.,verb,3
baku,pa-.,prefix,3
baku pukul,pagama.,verb,3
bakul,soe.,noun,3
balas,bala;,verb,3
balas,dhaa.,verb,3
balasan,babala.,noun,3
bale-bale,kalaga.,noun,3
bambu,kalai-əu.,noun,3
bangkit,kèdi.,verb,3
bangku,bagu.,noun,3
bangsa,suku;,noun,3
bangsa,udhu-rasa.,noun,3
bangun,kèdi.,verb,3
bangun lari,lega-rai.,verb,3
bangunkan,parèi.,verb,3
banjir,sabhori.,verb,3
bantah,sisu.,verb,3
banting,hake;,verb,3
banting,kalabhe.,verb,3
banyak,ae.,quantifier,3
banyak (orang),ca udhu.,noun,3
banyak uang,dhari ae.,idiom,3
bapak,ama.,noun,3
bapak besar,ama aae,noun,3
bapak besar,ama.,noun,3
bapak kecil,ama iiki,noun,3
bapak kecil,ama.,noun,3
bapak mertua,to'o.,noun,3
bapak mertua,ama.,noun,3
baptis,sarani.,verb,3
barang,mèdha.,noun,3
barangkali,teko.,conjunction,3
barat,haa.,noun,3
baring,j'unu.,verb,3
baring-baring,bhèj'i.,verb,3
baringkan,paj'unu.,verb,3
baru,hiu.,adjective,3
baru-baru ini,lai-lai.,adverb,3
batang,kapua.,noun,3
batas,too.,noun,3
batatas,sihu kee.,noun,3
batu,hadhu.,noun,3
batu cincin,hadhu kale'e.,noun,3
bau,hèu.,noun,3
bawa,nèti.,verb,3
bawa di kepala,tèdu.,verb,3
bawah,haha.,adjective,3
bawang merah,lasona mea.,noun,3
bawang putih,lasona pudhi.,noun,3
bayar kembali,sui.,verb,3
bayar lunas,sui.,verb,3
bayar upah,pagaji.,verb,3
bea,bea.,noun,3
beban,babia.,noun,3
bebaskan,patabuli;,verb,3
bebaskan,patalale.,verb,3
beberapa,pèri-pèri.,quantifier,3
beda,leo.,noun,3
begini,sèmi ne'e ka.,comparative,3
bekin,adu;,verb,3
bekuk,adu-ue,verb,4
bekuk,tao,verb,4
Vpref.,pa-,prefix,4
bekuk,kèpe,verb,4
bela,sarii,verb,4
bela diri,siri iisi,verb,4
bela diri,siri,verb,4
belah,masèke,verb,4
belah,bèka,verb,4
belah,pare,verb,4
belakang,kabodho,noun,4
belakang,limuri,adjective,4
belalang,kabara,noun,4
beli,hèli,verb,4
beli,pahèli,verb,4
belit-belit,karadhe,verb,4
belit-belit,koe-kalèko,idiom,4
belum,dhae,negation,4
belum,mèka,negation,4
"benam, ter-",cèna,verb,4
benang,loa hèngu,noun,4
benar,lèke,verb,4
benar,tare'a,adjective,4
bengkok,kapod'e,adjective,4
bengkok,koe,adjective,4
bengkok,koe-kalèko,idiom,4
