source_word,target_word,pos,page_number
a,ca.,num,1
a bunch,sagèri.,n,1
a galaxy of; k.o.fish,maho.,vi,1
a moment,diki.,adv,1
a part of,hag'e.,n,1
a piece,lai.,n,1
about; maybe; not.lose,ele.boe.,adv,1
above,dedha.,adv,1
absolutely right,tare'a-re'a.,vi,1
abundant result,sobhu-sobhu.,adv,1
accidentally bump into.,saleku.,v,1
add,tabha,v,1
add,taba,vi,1
adhere,kaj'èpe,v,1
adhere,tai,v,1
adhere,tapa,vt,1
adhere; patch on,tape.,vt,1
ador,hèu.,n,1
advice,holonori.,n,1
advise,holo.,vt,1
afoot,pakeko,v,1
afoot,kalau,vi,1
afraid,madha'u.,vi,1
after that,èle ka.,cnj,1
"after, until",tare.,cnj,1
afternoon,lod'o nihia,n,1
afternoon,nihia,n,1
afterwards,heka,cnj,1
afterwards,hèia,cnj,1
again,hari,adv,1
again,kahèi,adv,1
aging,ruku.,vi,1
aglow,heo,v,1
aglow,karoo,v,1
agree,pare'a.,vt,1
agree; match,pase.,v,1
agree; nod,ngètu.,vi,1
aha,ha.,PART,1
all,aa'i,adv,1
all,rarahai,adv,1
all,teme-teme,adv,1
all,hua,Qnt,1
all at once,kaca'a.,adv,1
almost,ita,adv,1
almost,oe,TAM,1
alone,mesa.,Qnt,1
already,èle.,adv,1
also,hèi,adv,1
also,seka hèi,adv,1
although,masi,cnj,1
although,masi ka,cnj,1
amused,capag'ili.,vi,1
anchor,tangad'a.,n,1
anchor,panahu.,vi,1
and,aa.,cnj,1
angry,nasa,v,1
angry,kacèla,vi,1
angry,gagai,vt,1
angry,tao,vt,1
angry,tao,adv,1
animal,badha.,n,1
ankle,gage.,n,1
ant,kikidui.,n,1
a pack,kètu.,n,1
apparatus box,rog'a.,n,1
appear,bhodho.,vi,1
appearance,rupa.,n,1
"appropriate, be right, be touched",lèke.,vi,1
April,Nyale Kole.,n,1
arc,hahusu.,n,1
areca nut,hènyi.,n,1
around,rai reo.,vi,1
arouse,parèi,vt.,2
arrive,tuu,v.,2
arrive,tu,vi.,2
arrogant,koaao,v.,2
"arrow, shoot with arrow",kataki,vt.,2
as,sèmi,prep.,2
a section,madha,n.,2
ashamed,makae,vi.,2
ask,karèi,v.,2
ask,manèngi,v.,2
ask,mangao,v.,2
"ask, inquire",bari,v.,2
aslant,pasoro,—,2
asphyxia,bèja,vi.,2
assist,batu,v.,2
assist,tulu,v.,2
a.step,pèga,adv.,2
at close guaters,pahèdhe,n.,2
"at, on, in",ètu,prep.,2
at the moment,rapa,cnj.,2
August,Isi Nèta,n.,2
aunt,ti'i,n.,2
auntie,teto,n.,2
awake,rèmi,vi.,2
ax,kataka,n.,2
