,method_type,n_shot,spBLEU,chrF++
0,nllb-200-distilled-600M_NT,0,7.66,27.11
1,Fuzzy Word Matching,10 (≈255),18.93 (+11.27),35.28 (+8.16)
2,Fuzzy Word Matching,15 (≈383),18.82 (+11.16),35.16 (+8.05)
3,Fuzzy Word Matching,5 (≈127),18.72 (+11.06),35.00 (+7.89)
4,ChrF RAG,60,18.44 (+10.78),34.98 (+7.87)
5,BGE,100,18.47 (+10.82),34.87 (+7.76)
6,ChrF RAG,100,18.27 (+10.62),34.93 (+7.82)
7,BGE,80,18.32 (+10.66),34.83 (+7.72)
8,BGE,60,18.34 (+10.68),34.72 (+7.61)
9,ChrF RAG,80,18.12 (+10.46),34.76 (+7.65)
10,ChrF RAG,40,18.05 (+10.39),34.61 (+7.50)
11,Fuzzy Word Matching,3 (≈76),17.72 (+10.06),34.42 (+7.31)
12,BM25,80,17.51 (+9.85),34.28 (+7.17)
13,BM25,40,17.44 (+9.78),34.01 (+6.90)
14,BM25,100,17.25 (+9.59),34.19 (+7.08)
15,BM25,60,17.34 (+9.68),33.97 (+6.86)
16,BGE,40,17.34 (+9.68),33.88 (+6.77)
17,Fuzzy Word Matching,20 (≈511),16.90 (+9.24),34.22 (+7.11)
18,ChrF RAG,20,17.01 (+9.35),33.74 (+6.63)
19,Fuzzy Word Matching,2 (≈51),16.94 (+9.29),33.64 (+6.52)
20,BGE,20,16.97 (+9.31),33.50 (+6.38)
21,BM25,20,16.53 (+8.87),33.31 (+6.20)
22,ChrF RAG,10,16.32 (+8.66),32.94 (+5.83)
23,Fuzzy Word Matching,1 (≈25),15.96 (+8.30),32.87 (+5.76)
24,BGE,10,15.71 (+8.05),32.45 (+5.33)
25,BM25,10,15.50 (+7.84),32.42 (+5.31)
26,ChrF RAG,5,15.33 (+7.67),32.09 (+4.98)
27,BGE,5,15.23 (+7.57),31.98 (+4.87)
28,BM25,5,14.76 (+7.10),31.65 (+4.54)
